5c:dc:96:c9:ef:d1	Jul 16, 2017 18:58:15.751537765 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:15.818161619 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:15.827675004 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:15.848848546 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:15.920519327 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:15.930228442 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:15.951253181 UTC
	Jul 16, 2017 18:58:16.010444379 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.032724119 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.053648285 UTC
	Jul 16, 2017 18:58:16.122227921 UTC
	Jul 16, 2017 18:58:16.122638285 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.125499900 UTC
	Jul 16, 2017 18:58:16.128535473 UTC
	Jul 16, 2017 18:58:16.128669119 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.135118285 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.156177348 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.227722192 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.238606567 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.258463910 UTC
5c:dc:96:c9:ef:d1	Jul 16, 2017 18:58:16.261052296 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.330106150 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.360866983 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.432501827 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.442123285 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.463330577 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.534945317 UTC
6c:62:6d:15:e7:d7	Jul 16, 2017 18:58:16.548006567 UTC
	Jul 16, 2017 18:58:16.555409796 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.565657400 UTC
5c:dc:96:c9:ef:d0	Jul 16, 2017 18:58:16.582516098 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.637322660 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.646910733 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.668060212 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.739721150 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.749386098 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.770468025 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.842109171 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.851668233 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.872862868 UTC
	Jul 16, 2017 18:58:16.902222400 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:16.944505056 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:16.957938493 UTC
6c:62:6d:15:e7:d7	Jul 16, 2017 18:58:16.958868962 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:16.975575785 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.046933441 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:17.060961723 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:17.077672452 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.149307816 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:17.180092764 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.251729170 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:17.282488077 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.354128493 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:17.367237452 UTC
8c:10:d4:dc:fc:53	Jul 16, 2017 18:58:17.368745420 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:17.384875108 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.456511879 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:17.466116722 UTC
ac:c6:62:22:34:e0	Jul 16, 2017 18:58:17.470952191 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:17.487319899 UTC
	Jul 16, 2017 18:58:17.508783597 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.558945368 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:17.568480785 UTC
	Jul 16, 2017 18:58:17.628790733 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:17.671877451 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.763726983 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:17.773301358 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:17.794478441 UTC
	Jul 16, 2017 18:58:17.805185993 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.866135212 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:17.899247191 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:17.968560472 UTC
5c:e3:0e:13:dd:7e	Jul 16, 2017 18:58:17.970254483 UTC
5c:e3:0e:13:dd:7e	Jul 16, 2017 18:58:17.971961097 UTC
5c:e3:0e:13:dd:7e	Jul 16, 2017 18:58:17.973677087 UTC
5c:e3:0e:13:dd:7e	Jul 16, 2017 18:58:17.975388753 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:17.979238441 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.070960628 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:18.102096670 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.173298649 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.183635628 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:18.204027660 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.275748337 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.285411618 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:18.306431826 UTC
	Jul 16, 2017 18:58:18.369549222 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.378108180 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.387316566 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.393384743 UTC
8c:10:d4:dc:fc:53	Jul 16, 2017 18:58:18.394753076 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.582911930 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.592570055 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:18.613630368 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.685331514 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.694922139 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.787758180 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.797680055 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:18.821080003 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.890131461 UTC
8c:10:d4:dc:fc:56	Jul 16, 2017 18:58:18.900053753 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:18.921619586 UTC
5c:e3:0e:13:dd:7c	Jul 16, 2017 18:58:18.992535888 UTC
90:94:e4:ad:0b:20	Jul 16, 2017 18:58:19.023239170 UTC
5c:dc:96:c9:ef:d1	Jul 16, 2017 18:58:19.032848961 UTC
